dateTime,artist,song
6/20/2021 16:08:00,The Neighbourhood,Float
6/20/2021 16:05:00,Hunny,Vowels (and the Importance of Being Me)
6/20/2021 16:00:00,alt-J,Nara
6/20/2021 15:58:00,Lowertown,New Song
6/20/2021 15:55:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
6/20/2021 15:51:00,I Monster,Daydream In Blue
6/20/2021 15:47:00,fun.,Why Am I the One
6/20/2021 10:04:00,SAFARIO,Pressure Love
6/20/2021 10:00:00,Daniel Caesar,Japanese Denim
6/20/2021 9:56:00,Sir Sly,Astronaut
6/20/2021 9:53:00,Role Model,better the first time
6/20/2021 9:49:00,One Direction,Clouds
6/20/2021 9:46:00,Coin,Crash My Car
6/20/2021 9:42:00,Lord Huron,Love Me Like You Used To
6/20/2021 9:38:00,alt-J,Breezeblocks
6/20/2021 9:34:00,The Neighbourhood,The Beach
6/20/2021 9:31:00,Cage the Elephant,Cigarette Daydreams
6/20/2021 9:27:00,Aidan Bissett,More Than Friends
6/20/2021 9:24:00,Mac DeMarco,My Kind of Woman
6/20/2021 9:21:00,Joy Again,Looking Out For You
6/20/2021 9:18:00,Supertramp,Breakfast In America - 2010 Remastered
6/20/2021 9:18:00,Jontha Links,Duracell
6/17/2021 18:37:00,I Monster,Daydream In Blue
6/17/2021 18:33:00,Lord Huron,Love Me Like You Used To
6/17/2021 18:31:00,Surf Curse,Freaks
6/17/2021 18:23:00,Geskle,So She Goes
6/17/2021 18:19:00,alt-J,Breezeblocks
6/17/2021 12:21:00,Kyle Dixon & Michael Stein,Stranger Things
6/17/2021 11:09:00,Daniel Caesar,Japanese Denim
6/17/2021 11:04:00,The Backseat Lovers,Kilby Girl
6/17/2021 11:01:00,Saint Motel,For Elise
6/17/2021 10:59:00,Simon & Garfunkel,Baby Driver
6/17/2021 10:57:00,Winston Surfshirt,For The Record
6/16/2021 22:14:00,One Direction,Clouds
6/16/2021 22:04:00,Winston Surfshirt,For The Record
6/16/2021 21:59:00,The Neighbourhood,Cry Baby
6/16/2021 21:57:00,M83,My Tears Are Becoming a Sea
6/16/2021 21:51:00,Daniel Caesar,Japanese Denim
6/16/2021 21:47:00,Matt Maltese,Even If It's a Lie - Demo
6/16/2021 21:45:00,Still Woozy,Goodie Bag
6/16/2021 21:38:00,Surf Curse,Freaks
6/16/2021 21:35:00,I Monster,Daydream In Blue
6/16/2021 21:31:00,Mac DeMarco,My Kind of Woman
6/16/2021 21:27:00,Gym Class Heroes,Cupid's Chokehold / Breakfast in America
6/16/2021 21:25:00,Lowertown,New Song
6/16/2021 16:25:00,Mac DeMarco,My Kind of Woman
6/16/2021 16:21:00,Lord Huron,Love Me Like You Used To
6/16/2021 16:17:00,Wallows,Drunk on Halloween
6/16/2021 16:14:00,Joy Again,Looking Out For You
6/16/2021 16:10:00,Geskle,So She Goes
6/16/2021 16:08:00,Still Woozy,Goodie Bag
6/16/2021 16:05:00,dad sports,dog cuddles
6/16/2021 12:49:00,Role Model,girl in new york
6/16/2021 12:45:00,Wallows,Drunk on Halloween
6/16/2021 12:42:00,Wallows,Remember When
6/16/2021 12:38:00,The Backseat Lovers,Kilby Girl
6/16/2021 12:36:00,Boy Willows,Fila
6/16/2021 12:32:00,alt-J,Breezeblocks
6/16/2021 12:28:00,The Neighbourhood,The Beach
6/16/2021 12:25:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
6/16/2021 12:22:00,Carwash,striptease
6/16/2021 12:20:00,Lowertown,New Song
6/16/2021 12:16:00,Sarah Kinsley,The King
6/16/2021 12:13:00,Coin,Crash My Car
6/16/2021 12:10:00,Home,Resonance
6/16/2021 12:09:00,Boy Willows,Fila
6/16/2021 11:52:00,dad sports,dog cuddles
6/14/2021 15:57:00,Home,Resonance
6/14/2021 15:54:00,Arctic Monkeys,I Wanna Be Yours
6/14/2021 15:51:00,Arctic Monkeys,Why'd You Only Call Me When You're High?
6/14/2021 15:39:00,Saint Motel,For Elise
6/14/2021 15:36:00,Coin,Crash My Car
6/13/2021 22:28:00,Coin,Malibu 1992
6/13/2021 22:24:00,Coin,Crash My Car
6/13/2021 22:24:00,Still Woozy,Rocky
6/13/2021 22:22:00,Olivia Rodrigo,good 4 u
6/13/2021 0:39:00,Coin,Crash My Car
6/12/2021 20:49:00,Still Woozy,Kenny
